Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   389   208.170 6673463.685 6673671.855
decoder         336   188.536 5320002.550 5320191.086
b1            260   160.914 4799309.777 4799470.691
count          30    11.414  209426.866  209438.281
s1             21     7.655  152285.403  152293.059
h1             19     7.250  157949.809  157957.059
encoder          46    15.931  347635.358  347651.289
c1             25     8.048  171941.333  171949.381
r1             14     6.529  153738.909  153745.438

