Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   457   237.325 5478145.336 5478382.661
decoder         407   216.400 4075481.669 4075698.068
b1            135    83.045 3014294.218 3014377.263
e1            148    81.093   82208.152   82289.244
p1          131    69.459   65232.233   65301.692
h1             24    16.648  184789.438  184806.086
c1             30    11.397  237093.941  237105.338
h3             16     6.875  177817.338  177824.213
s3             18     6.414  165655.233  165661.647
s1             16     5.709  165508.495  165514.204
f1              4     1.133   23368.385   23369.518
f2              4     1.082   22856.228   22857.309
encoder          45    17.994  544374.975  544392.969
r1             17     9.179  330623.574  330632.753
c1             23     7.517  185306.694  185314.211

