Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   464   241.295 3407560.318 3407801.613
decoder         414   220.553 2519839.944 2520060.497
e1            145    82.841   87078.774   87161.615
p1          126    68.283   62543.001   62611.284
b1            135    82.710 1825444.659 1825527.369
h1             24    16.292  115816.477  115832.769
c1             39    13.549  147982.272  147995.821
h3             16     7.097  111684.972  111692.068
s3             17     6.336  101311.371  101317.707
s1             16     5.778   99416.838   99422.616
f1              4     1.077   13971.279   13972.356
f2              4     1.076   13957.372   13958.448
encoder          45    17.804  336207.480  336225.285
r1             17     8.913  202471.714  202480.627
c1             23     7.589  113406.924  113414.513

