Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   472   228.134 6668440.177 6668668.311
decoder         419   206.811 4875201.732 4875408.543
b1            135    82.718 3613192.428 3613275.146
e1            160    73.081   97030.453   97103.534
p1          141    61.490   77508.703   77570.193
h1             22    15.425  213933.818  213949.243
c1             31    11.508  284923.162  284934.670
h3             16     6.859  213629.087  213635.947
s3             18     6.290  197581.532  197587.822
s1             16     5.780  197498.649  197504.429
f1              4     1.111   28092.924   28094.036
f2              4     1.082   27309.996   27311.078
encoder          48    18.413  763600.322  763618.735
r1             17     9.089  495130.724  495139.812
c1             26     8.033  222910.057  222918.090

