Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   836   303.803 7504151.224 7504455.027
decoder         786   283.492 5495892.681 5496176.173
b1            521   151.897 4072214.046 4072365.942
bufcnt1       0     0.000    1246.500    1246.500
e1            129    77.104   79170.253   79247.358
p1          112    67.173   60399.936   60467.109
c1             43    14.199  326200.596  326214.795
h1             19    12.941  241428.756  241441.697
h3             16     7.067  250408.025  250415.091
s3             18     6.643  229494.513  229501.155
s1             16     5.988  229455.295  229461.283
f1              4     1.700   32243.324   32245.025
f2              5     1.240   32025.525   32026.765
encoder          45    17.364  820089.354  820106.718
r1             17     8.988  515335.822  515344.810
c1             23     7.089  260374.911  260382.000

