Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   701   302.780 3802707.339 3803010.119
decoder         651   282.020 2974452.064 2974734.084
b1            449   210.495 2528127.715 2528338.210
e1             97    29.428   35997.847   36027.276
p1           83    25.279   29792.630   29817.909
c1             37    10.372   99241.400   99251.772
h1              9     9.412   77094.795   77104.206
s3             18     6.694   69805.657   69812.350
h3             11     6.305   76028.155   76034.461
s1             16     6.021   67529.374   67535.395
f1              1     0.662    9531.343    9532.005
f2              1     0.577    9467.670    9468.247
encoder          45    17.940  231728.795  231746.735
r1             17     9.136  139743.787  139752.923
c1             23     7.506   76401.613   76409.119

