Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   774   374.594 7322846.456 7323221.050
decoder         724   353.674 5804326.253 5804679.927
b1            452   211.611 4924986.787 4925198.398
e1            142    88.920   89626.275   89715.196
p1          125    74.958   62020.280   62095.238
h1             21    15.787  148936.780  148952.567
c1             37    12.626  192939.877  192952.503
h3             16     6.988  143059.457  143066.445
s3             18     6.463  134583.957  134590.419
s1             16     5.858  131043.951  131049.809
f1              4     1.135   18806.273   18807.408
f2              4     1.077   18432.180   18433.258
encoder          45    18.014  441644.977  441662.992
r1             17     9.191  268075.031  268084.222
c1             23     7.526  149176.639  149184.165

