Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1157   688.047 17745263.534 17745951.581
decoder        1104   667.128 14885910.385 14886577.513
b1           1028   638.154 14404146.909 14404785.063
count          37    12.569   187953.052   187965.621
s1             22     8.309   142895.528   142903.838
h1             11     7.312   150468.058   150475.371
encoder          48    18.012   362409.665   362427.678
c1             29     9.501   155437.696   155447.197
r1             14     7.197   174938.169   174945.366

