Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1206   702.505 40798556.384 40799258.889
decoder        1148   680.556 34355429.451 34356110.007
b1           1028   638.051 33267218.324 33267856.375
count          50    21.211   425813.542   425834.753
h1             40    11.176   336473.913   336485.089
s1             24     9.007   325257.334   325266.341
encoder          53    19.034   765337.795   765356.829
c1             31    10.139   354784.565   354794.705
r1             15     7.305   358378.595   358385.900

