Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1211   703.258 29182432.601 29183135.859
decoder        1147   679.021 24570184.301 24570863.322
b1           1028   638.046 23787136.554 23787774.600
count          50    21.532   307281.838   307303.370
h1             40    10.463   241234.303   241244.766
s1             23     8.178   233811.078   233819.256
encoder          57    20.611   564050.701   564071.313
c1             35    11.006   254503.716   254514.722
r1             15     7.905   266925.776   266933.681

