Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   335   155.397 2200954.182 2201109.579
decoder         288   136.602 1504609.989 1504746.591
e1             99    48.105   47703.519   47751.624
p1           88    39.311   37877.679   37916.990
b1             69    42.203  926705.731  926747.935
h1             21    11.681   96225.579   96237.260
c1             33    11.207  133252.049  133263.257
h3             16     6.178   94019.272   94025.450
s3             16     6.057   88892.750   88898.808
s1             14     5.139   87425.186   87430.325
f2              4     1.168   14016.913   14018.081
f1              4     1.162   13962.596   13963.758
encoder          42    15.877  298003.736  298019.613
r1             15     7.952  177013.086  177021.038
c1             22     6.628  100682.082  100688.709

