Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   492   221.688 4362010.238 4362231.926
decoder         445   202.929 3253008.198 3253211.127
b1            230   106.784 2497400.184 2497506.967
e1             96    49.000   66131.514   66180.513
p1           77    37.542   44145.678   44183.220
c1             34    13.691  174814.535  174828.226
h1             18     8.932  119374.317  119383.249
h3             16     6.178  123801.495  123807.673
s3             16     5.599  116265.086  116270.686
s1             14     4.877  113801.853  113806.730
f1              4     1.861   18509.213   18511.074
f2              4     1.509   18748.008   18749.517
encoder          42    15.862  418697.108  418712.970
r1             15     7.876  256730.071  256737.946
c1             22     6.699  132969.623  132976.322

