Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   513   232.501 5388060.654 5388293.155
decoder         467   214.197 4034821.122 4035035.319
b1            231   107.344 3109427.082 3109534.426
e1            112    57.897   68452.345   68510.242
p1           96    45.312   48669.123   48714.435
c1             35    13.881  216291.959  216305.840
h1             20    11.933  151508.946  151520.879
h3             16     6.178  153085.010  153091.188
s3             16     5.589  144243.248  144248.838
s1             14     4.986  141796.924  141801.910
f1              4     1.096   23371.609   23372.705
f2              4     1.082   22812.648   22813.730
encoder          41    15.353  517665.038  517680.391
r1             15     7.697  310085.409  310093.107
c1             23     6.728  165099.457  165106.185

