Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   228    88.443 923845.610 923934.053
decoder         182    69.882 409755.144 409825.026
e1             78    28.597  41877.766  41906.363
p1           66    23.140  31729.737  31752.877
h1             14    10.458  66048.805  66059.263
c1             31     9.348  89053.671  89063.019
h3             14     6.191  66687.100  66693.291
s3             16     6.129  59130.795  59136.924
s1             14     5.189  58124.593  58129.782
b1              2     0.767   8856.285   8857.051
f1              1     0.661   9617.340   9618.000
f2              1     0.576   9496.425   9497.001
encoder          41    15.721 272663.281 272679.002
r1             15     7.924 179437.687 179445.612
c1             21     6.492  67619.092  67625.584

