Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   336   150.203 4279464.274 4279614.476
decoder         287   131.009 2913867.044 2913998.053
b1             71    42.877 1835023.501 1835066.378
e1            103    42.356   53801.947   53844.303
p1           89    33.376   40269.936   40303.312
c1             30    11.818  258173.452  258185.270
h1             16    11.190  182282.211  182293.400
h3             15     6.292  184151.683  184157.975
s3             16     5.865  172469.751  172475.616
s1             14     4.957  170313.218  170318.175
f1              4     1.127   27975.718   27976.845
f2              4     1.073   27327.784   27328.858
encoder          44    16.311  646431.420  646447.731
r1             15     7.893  406298.652  406306.545
c1             24     7.131  196095.788  196102.920

