Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   354   178.040 4967161.560 4967339.600
decoder         309   159.476 3403341.520 3403500.996
e1            116    66.245   73271.179   73337.424
p1          103    54.803   56458.227   56513.030
b1             69    42.034 2139649.426 2139691.460
h1             20    13.820  213902.824  213916.644
c1             36    12.040  296513.987  296526.027
h3             16     6.119  212488.987  212495.106
s3             16     5.928  201161.849  201167.777
s1             14     5.117  198374.406  198379.523
f2              3     2.055   32261.693   32263.749
f1              4     1.504   32344.942   32346.446
encoder          40    15.656  738372.214  738387.870
r1             15     7.893  462354.856  462362.749
c1             20     6.476  227502.497  227508.974

