Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1012   547.919 19552765.893 19553313.812
decoder         954   523.436 15883400.198 15883923.633
b1            519   321.674 14285431.195 14285752.869
e1            276   136.038   141823.097   141959.135
p1          250   122.247   116972.903   117095.150
h1             26    18.118   274860.847   274878.965
c1             46    14.796   341442.204   341457.000
h3             21     8.409   271715.058   271723.467
s3             22     8.115   255339.300   255347.415
s1             20     7.277   251494.775   251502.052
f1              4     1.136    27976.797    27977.933
f2              4     1.082    27352.088    27353.170
encoder          53    21.576   912294.883   912316.459
r1             21    11.598   590670.018   590681.616
c1             27     8.658   277128.628   277137.286

