Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   995   541.813 10094296.675 10094838.489
decoder         937   517.269  8143247.483  8143764.753
b1            519   320.404  7216632.848  7216953.252
e1            264   136.030   173658.502   173794.531
p1          245   123.222   147874.196   147997.417
h1             27    17.390   145814.148   145831.538
c1             44    13.990   175634.698   175648.689
h3             21     8.359   141639.094   141647.453
s3             22     8.238   131416.061   131424.299
s1             20     7.374   128841.129   128848.503
f1              4     1.082    13887.349    13888.431
f2              4     1.082    13906.876    13907.958
encoder          53    21.635   512998.832   513020.467
r1             21    11.583   340229.522   340241.104
c1             27     8.733   142148.367   142157.100

