Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1013   549.090 22772587.823 22773136.913
decoder         955   524.627 18518070.418 18518595.045
b1            519   321.674 16666571.769 16666893.444
e1            277   137.096   159264.482   159401.578
p1          256   124.158   136959.171   137083.330
h1             29    21.489   322172.010   322193.499
c1             46    14.568   396904.743   396919.311
h3             20     8.304   315778.852   315787.155
s3             22     8.237   297787.092   297795.329
s1             20     7.276   293037.391   293044.667
f1              4     1.171    32641.237    32642.408
f2              4     1.117    31905.039    31906.156
encoder          53    21.554  1047561.242  1047582.796
r1             21    11.583   675033.197   675044.780
c1             27     8.652   323359.528   323368.180

