Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  2160   975.559 12655155.967 12656131.525
decoder        2101   950.576 10624553.336 10625503.912
b1           1790   836.612 10042227.391 10043064.003
e1            175    59.803    70396.286    70456.088
p1          153    52.988    56656.466    56709.454
c1             41    13.145   118345.546   118358.691
h1             14    10.317    94093.556    94103.872
s3             22     8.205    88737.225    88745.430
s1             20     7.460    86988.752    86996.212
h3             14     7.322    97950.859    97958.181
f1              3     1.132     9417.938     9419.070
f2              3     1.130     9581.620     9582.750
encoder          54    22.240   290919.625   290941.865
r1             21    11.867   178650.547   178662.414
c1             28     9.049    96702.661    96711.710

