Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  2289  1072.258 31716785.042 31717857.300
decoder        2231  1047.533 26706956.197 26708003.730
b1           1799   838.947 25282746.054 25283585.000
e1            279   143.007   174802.663   174945.671
p1          256   123.681   136840.166   136963.847
h1             29    19.034   230644.225   230663.258
c1             40    16.036   288213.506   288229.542
h3             20     8.159   230179.179   230187.338
s3             22     8.120   215055.836   215063.957
s1             20     7.269   212591.861   212599.130
f1              4     1.136    23370.976    23372.111
f2              4     1.081    22837.474    22838.555
encoder          53    21.908   813503.338   813525.247
r1             21    11.616   536840.135   536851.751
c1             27     8.975   233195.060   233204.035

