Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   689   383.547 18336370.241 18336753.788
decoder         628   360.871 15132751.018 15133111.889
b1            516   319.920 14284850.335 14285170.255
count          48    19.395   338435.100   338454.494
h1             36    12.411   258488.299   258500.710
s1             22     8.059   250190.398   250198.457
encoder          54    18.866   595331.830   595350.696
c1             33     9.814   277653.729   277663.543
r1             14     7.254   275660.132   275667.386

