Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   633   364.840 6300391.076 6300755.916
decoder         585   346.166 5151414.908 5151761.074
b1            516   319.999 4855096.912 4855416.911
count          35    11.558  118244.693  118256.250
s1             20     7.425   85755.581   85763.006
h1             10     6.676   92088.640   92095.316
encoder          43    15.794  210382.167  210397.962
c1             28     8.785   95607.276   95616.062
r1             12     6.048   86753.150   86759.198

