Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  2743  1137.931 29393482.508 29394620.439
decoder        2691  1117.904 24843314.683 24844432.587
b1           2603  1083.781 24133438.747 24134522.527
count          42    14.371   281774.051   281788.422
h1             20    10.111   216445.800   216455.911
s1             20     7.972   210395.614   210403.586
encoder          47    17.152   502076.508   502093.660
c1             28     9.219   232025.899   232035.119
r1             13     6.568   231762.679   231769.247

