Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1438   818.418 18148857.257 18149675.675
decoder        1390   799.819 15307650.904 15308450.722
b1           1315   772.611 14872200.686 14872973.297
count          38    12.021   170892.642   170904.663
s1             21     7.706   128156.629   128164.335
h1             10     6.669   135708.585   135715.254
encoder          43    15.802   343943.618   343959.420
c1             28     8.794   140802.079   140810.873
r1             12     6.041   168511.889   168517.930

