Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   660   356.533 11125295.347 11125651.880
decoder         608   334.454  8651231.385  8651565.839
b1            263   162.177  7170134.862  7170297.039
e1            200   109.331   140027.799   140137.130
p1          178    96.598   112044.700   112141.298
h1             28    18.067   247213.696   247231.763
c1             41    14.962   317046.134   317061.096
h3             17     8.451   252800.887   252809.339
s3             22     8.426   237656.544   237664.970
s1             17     6.785   229715.621   229722.406
f2              3     2.058    27675.999    27678.057
f1              5     1.306    28034.337    28035.644
encoder          47    19.171   856989.986   857009.158
r1             19    10.177   557554.608   557564.785
c1             23     7.672   255018.886   255026.558

