Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   983   516.918 6820711.705 6821228.623
decoder         929   494.437 5588573.152 5589067.588
b1            640   385.158 5008247.213 5008632.371
e1            148    55.853   91790.234   91846.087
p1          130    49.375   77127.803   77177.178
h1             20    11.440   91876.598   91888.038
c1             35    10.895  109062.632  109073.527
h3             19     8.859   95982.741   95991.600
s3             24     8.607   84497.810   84506.417
s1             20     7.592   79477.501   79485.093
f1              3     1.124    9501.144    9502.268
f2              3     1.123    9516.792    9517.915
encoder          49    19.648  261580.602  261600.250
r1             19    10.310  158543.377  158553.688
c1             25     8.038   87560.260   87568.298

