Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   692   377.272 5969903.955 5970281.227
decoder         639   354.962 4492461.826 4492816.789
b1            263   161.627 3622392.070 3622553.697
e1            217   125.720  162697.118  162822.838
p1          198   107.944  125631.549  125739.493
h1             35    19.966  137603.601  137623.567
c1             36    14.929  163815.425  163830.355
h3             28    12.086  138301.553  138313.639
s3             24     8.454  121615.431  121623.885
s1             15     6.086  115932.696  115938.782
f2              4     1.516   14373.136   14374.652
f1              4     1.513   14168.673   14170.186
encoder          48    19.423  590814.362  590833.785
r1             19    10.311  420469.253  420479.564
c1             24     7.778  130691.022  130698.800

