Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1333   621.018 22843832.925 22844453.943
decoder        1279   598.979 18699361.264 18699960.243
b1            898   421.054 16975855.431 16976276.485
e1            220   115.386   162595.618   162711.003
p1          200   102.760   135845.604   135948.364
h1             31    15.699   279033.837   279049.537
c1             41    14.589   367840.479   367855.067
h3             31    11.267   290509.708   290520.975
s3             22     8.313   283757.990   283766.303
s1             17     6.346   271679.443   271685.790
f1              3     1.563    32347.122    32348.684
f2              3     1.563    32369.660    32371.223
encoder          49    19.127   968923.063   968942.190
r1             19    10.082   626578.387   626588.469
c1             25     7.755   294787.327   294795.082

