Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   709   385.884 9487114.803 9487500.687
decoder         657   363.506 7279402.883 7279766.389
b1            263   162.232 5981599.422 5981761.654
e1            234   135.004  174414.356  174549.360
p1          212   119.376  145232.131  145351.508
h1             30    18.009  209223.427  209241.437
c1             40    13.750  266423.482  266437.232
h3             32    13.038  213961.399  213974.437
s3             24     8.444  195469.982  195478.426
s1             15     6.086  190297.230  190303.316
f2              3     2.058   23165.897   23167.954
f1              3     2.057   23124.413   23126.470
encoder          47    19.491  834175.247  834194.737
r1             19    10.311  570244.291  570254.602
c1             23     7.846  214983.576  214991.422

