Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1445   539.653 7478043.969 7478583.622
decoder        1391   516.743 5841562.818 5842079.561
b1           1033   337.970 4779225.321 4779563.291
e1            188   113.360  153020.545  153133.904
p1          166   101.514  130440.135  130541.648
h1             34    17.114  169801.224  169818.338
c1             42    15.204  214851.239  214866.443
h3             29     9.515  171689.882  171699.397
s3             24     8.424  158159.874  158168.298
s1             20     7.393  151382.537  151389.929
f2              3     1.563   18724.861   18726.424
f1              4     1.082   18332.143   18333.225
encoder          49    19.980  513151.645  513171.625
r1             19    10.660  316212.421  316223.080
c1             25     8.000  171059.757  171067.757

