Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   417   134.716 1989913.799 1990048.515
decoder         379   120.048 1324435.253 1324555.301
b1            326   101.083 1013782.072 1013883.155
count          28     8.770  131885.061  131893.831
s1             14     5.263   86287.668   86292.931
h1              7     4.491   91298.271   91302.762
encoder          33    11.819  261441.121  261452.941
c1             21     6.719   99402.123   99408.841
r1              9     4.134  127298.982  127303.116

