Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   410   169.878 6462919.462 6463089.341
decoder         369   153.603 4956936.045 4957089.648
b1            290   126.004 4261032.210 4261158.214
count          31    10.852  295812.472  295823.324
h1             25     8.938  202214.211  202223.149
s1             16     5.580  194132.292  194137.872
encoder          36    13.440  487494.691  487508.131
c1             22     7.160  226449.465  226456.625
r1             10     5.014  217993.931  217998.945

