Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper    91    33.746 554160.553 554194.298
decoder          53    19.282 221257.704 221276.985
count          27     8.521  89855.207  89863.728
s1             14     5.231  60065.992  60071.223
h1              7     4.493  62066.212  62070.705
b1              2     0.764   9008.523   9009.287
encoder          33    11.584 154307.302 154318.886
c1             21     6.420  67750.941  67757.361
r1              9     4.203  58483.912  58488.115

============================================================
Generated by:           Encounter(R) RTL Compiler v10.10-s209_1
