Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   116    51.510 861769.130 861820.641
decoder          82    38.285 502820.665 502858.950
b1             36    21.747 321862.477 321884.224
count          25     7.913  79468.219  79476.132
s1             12     4.406  48859.698  48864.104
h1              6     3.870  52273.522  52277.392
encoder          29    10.350 137937.073 137947.423
c1             18     5.862  58948.067  58953.929
r1              8     3.527  50825.798  50829.326

