Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   301   112.920 3833447.536 3833560.456
decoder         260    96.229 2752985.202 2753081.431
b1            190    73.711 2154792.525 2154866.236
count          31    11.424  263990.948  264002.372
h1             20     5.361  169688.718  169694.079
s1             14     4.511  163635.609  163640.120
encoder          36    13.878  416464.147  416478.025
c1             19     6.737  194689.946  194696.683
r1             10     5.320  180030.299  180035.618

