Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  2977  1682.479 24239473.227 24241155.705
decoder        2912  1655.238 20713542.486 20715197.724
b1           2553  1528.598 20075888.158 20077416.755
e1            210    64.356    71993.875    72058.231
p1          186    58.236    61509.280    61567.516
c1             42    14.704   128812.137   128826.840
h1             17    11.003   104856.768   104867.772
h3             17     9.213   107140.966   107150.179
s3             25     8.948    98228.251    98237.199
s1             22     8.243    97376.833    97385.077
f1              3     1.132     9417.939     9419.071
f2              3     1.131     9451.283     9452.414
encoder          60    24.502   318011.809   318036.310
r1             23    13.177   196808.818   196821.995
c1             32    10.001   105642.596   105652.598

