Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  4561  1452.191 17674957.944 17676410.136
decoder        4496  1425.080 14659699.323 14661124.403
b1           4027  1174.462 13671809.792 13672984.254
bufcnt1       0     0.000     2044.500     2044.500
e1            306   179.504   159132.413   159311.917
p1          282   160.242   130972.180   131132.422
h1             28    20.375   162672.397   162692.772
c1             46    17.169   193879.093   193896.262
h3             20     9.099   153999.815   154008.913
s3             25     9.026   144903.293   144912.318
s1             22     8.258   142652.110   142660.367
f2              3     2.057    14198.302    14200.359
f1              4     1.082    13888.861    13889.943
encoder          60    24.179   468299.119   468323.298
r1             23    12.863   290821.084   290833.947
c1             32     9.994   157033.505   157043.498

