Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  4183  1959.892 70506928.130 70508888.021
decoder        4118  1933.205 60077412.876 60079346.081
b1           3583  1673.872 58243532.854 58245206.726
e1            362   189.300   231711.678   231900.978
p1          343   172.739   205291.143   205463.882
h1             30    20.387   308680.321   308700.708
c1             53    17.102   371135.581   371152.682
h3             20     9.275   302029.852   302039.127
s3             25     8.769   281861.324   281870.092
s1             22     8.084   280687.929   280696.013
f1              4     1.461    27468.911    27470.372
f2              4     1.117    27387.629    27388.746
encoder          60    23.866   959734.764   959758.630
r1             23    12.752   614112.240   614124.992
c1             32     9.796   305504.944   305514.740

