Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  4610  1605.117 42202027.156 42203632.274
decoder        4546  1578.313 35154541.282 35156119.595
b1           4035  1323.962 33121217.280 33122541.242
e1            341   181.198   161173.650   161354.848
p1          318   162.846   136562.306   136725.152
h1             30    23.978   360396.319   360420.297
c1             48    16.135   428565.804   428581.939
h3             21     9.389   349894.143   349903.532
s3             25     9.012   330275.456   330284.467
s1             22     8.137   330136.328   330144.465
f2              5     1.232    31938.179    31939.410
f1              4     1.117    31864.483    31865.600
encoder          59    23.863  1141768.043  1141791.906
r1             23    12.644   736285.098   736297.742
c1             31     9.903   356948.607   356958.510

