Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1625   913.897 24393691.996 24394605.893
decoder        1561   887.488 20351397.947 20352285.435
b1           1031   639.402 19088895.867 19089535.269
e1            366   175.501   174041.097   174216.598
p1          339   161.227   152842.178   153003.405
h1             29    23.081   214085.279   214108.359
c1             44    16.107   251071.838   251087.945
s3             26     9.095   189954.446   189963.541
h3             19     9.083   204844.227   204853.310
s1             22     8.078   188052.852   188060.929
f1              4     1.136    18785.108    18786.243
f2              4     1.082    18373.099    18374.181
encoder          59    23.495   676025.475   676048.970
r1             23    12.618   436990.026   437002.643
c1             31     9.563   206937.957   206947.520

