Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  4602  1471.194 30152463.111 30153934.305
decoder        4537  1444.349 25104156.269 25105600.618
b1           4027  1176.623 23583984.007 23585160.629
bufcnt1       0     0.000     2044.500     2044.500
e1            338   195.338   168226.208   168421.546
p1          315   179.779   146779.006   146958.785
h1             30    21.727   260937.384   260959.111
c1             50    17.671   309683.425   309701.096
h3             21     9.389   251551.989   251561.378
s3             25     9.015   237854.144   237863.159
s1             22     8.031   237050.348   237058.379
f2              5     1.232    22920.261    22921.493
f1              4     1.169    22868.786    22869.955
encoder          60    23.903   846373.845   846397.748
r1             23    12.644   550615.537   550628.181
c1             32     9.944   256424.497   256434.440

