Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper  1029   366.270 10109188.907 10109555.177
decoder         980   347.023  8166716.755  8167063.778
b1            892   316.511  7489895.084  7490211.595
count          37    14.426   278359.550   278373.976
h1             29     7.653   202602.535   202610.188
s1             17     6.771   194914.875   194921.646
encoder          42    15.478   481376.857   481392.336
c1             23     7.579   221798.084   221805.663
r1             12     6.144   218454.664   218460.808

