Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   646   190.687 3837150.341 3837341.027
decoder         601   173.928 2798522.631 2798696.559
b1            530   149.453 2335149.878 2335299.332
bufcnt1       0     0.000    1276.500    1276.500
count          32    10.671  189342.236  189352.906
h1             15     6.686  139243.720  139250.406
s1             17     6.216  133255.458  133261.674
encoder          40    13.927  367229.314  367243.241
c1             23     7.255  149624.702  149631.956
r1             11     5.375  173581.889  173587.263

