Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   102    37.501 631383.524 631421.025
decoder          61    21.562 249744.706 249766.268
count          31     9.293  98890.119  98899.412
s1             16     5.882  69081.854  69087.736
h1              8     5.205  72616.115  72621.320
b1              2     0.761   8960.585   8961.346
encoder          36    13.057 178395.552 178408.608
c1             23     7.328  78237.717  78245.044
r1             10     4.767  72139.553  72144.321

