Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   274   133.836 6608716.402 6608850.238
decoder         223   114.717 5005550.419 5005665.135
b1            132    82.410 4215535.138 4215617.547
count          39    16.517  325039.203  325055.720
h1             28     8.396  235474.730  235483.126
s1             18     6.467  228763.486  228769.953
encoder          46    16.228  559447.070  559463.298
c1             26     8.027  258301.838  258309.865
r1             12     6.373  253430.491  253436.864

