Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   254   118.130 2455270.699 2455388.830
decoder         215   101.916 1581644.943 1581746.859
e1             66    38.355   51545.148   51583.503
p1           57    28.802   34224.706   34253.508
b1             39    22.812  788584.239  788607.051
c1             31    11.349  192975.001  192986.351
h1             17     9.192  129280.886  129290.078
h3             15     5.203  127764.776  127769.979
s3             14     4.916  121381.514  121386.430
s1             12     4.295  119592.466  119596.760
f1              5     1.311   23816.874   23818.185
f2              5     1.230   23243.246   23244.476
encoder          34    13.237  420111.338  420124.575
r1             13     6.651  237761.162  237767.813
c1             18     5.675  140534.140  140539.814

