Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   363   156.304 4694923.851 4695080.155
decoder         322   139.854 3303702.099 3303841.953
b1            118    55.539 2206515.809 2206571.348
e1             96    39.203   59826.219   59865.421
p1           81    29.303   40482.746   40512.050
h1             16    12.385  179026.649  179039.034
c1             31    11.622  267809.586  267821.208
h3             15     5.194  176931.283  176936.477
s3             14     4.871  168251.636  168256.508
s1             12     4.445  165564.430  165568.875
f1              4     1.127   32735.063   32736.190
f2              4     1.057   32129.530   32130.587
encoder          36    13.615  600568.969  600582.583
r1             13     6.725  359573.469  359580.194
c1             18     5.601  196027.492  196033.092

