Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   205    82.213 1092721.475 1092803.688
decoder         164    65.804  660000.975  660066.778
b1             36    21.754  321787.341  321809.095
e1             48    13.046   21768.215   21781.261
p1           39    10.871   15433.355   15444.226
c1             25     8.263   80425.134   80433.397
s3             14     5.296   53139.343   53144.639
h1              8     5.139   54253.049   54258.188
h3             10     5.031   59673.795   59678.825
s1             12     4.380   49284.332   49288.712
f2              1     0.660    9611.538    9612.199
f1              1     0.575    9324.765    9325.340
encoder          36    13.616  181378.609  181392.225
r1             13     6.663  105778.202  105784.865
c1             18     5.662   58380.405   58386.067

