Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   246   120.889 1557005.532 1557126.421
decoder         205   104.387  985996.504  986100.891
e1             60    37.323   46039.109   46076.432
p1           51    28.678   30636.937   30665.615
b1             37    22.338  478011.173  478033.512
c1             32    11.548  119589.438  119600.986
h1             17    10.756   82387.767   82398.523
h3             15     6.150   79940.493   79946.643
s3             14     5.176   75105.272   75110.448
s1             12     4.302   72671.897   72676.199
f1              4     1.511   14339.234   14340.745
f2              4     1.503   14700.702   14702.206
encoder          36    13.605  258643.355  258656.960
r1             13     6.663  151166.263  151172.926
c1             18     5.651   85880.999   85886.650

