Instance Cells Leakage-Power(nW) Dynamic-Power(nW) Total-Power(nW)
enc_dec_wrapper   261   118.932 2947725.123 2947844.054
decoder         220   102.342 1884659.632 1884761.973
e1             77    40.594   60888.146   60928.739
p1           66    32.488   44870.771   44903.259
b1             39    22.810  945212.402  945235.212
c1             30    10.976  229372.265  229383.241
h1             13     7.554  150570.625  150578.179
h3             15     5.191  152521.220  152526.412
s3             14     4.915  144842.518  144847.433
s1             12     4.252  142847.417  142851.669
f1              4     1.507   27790.820   27792.327
f2              4     1.486   27971.569   27973.056
encoder          36    13.660  522541.208  522554.868
r1             13     6.820  314971.441  314978.261
c1             18     5.551  167204.866  167210.416

